L,N,mpo_kpm_seconds,sparse_kpm_seconds,exact_diag_seconds
2,4,0.0232948,1.68e-5,1.33e-5
3,8,0.0837921,1.02e-5,1.47e-5
4,16,0.1120717,1.12e-5,1.93e-5
5,32,0.1773847,1.6e-5,4.9e-5
6,64,0.2023137,3.6e-5,0.0001492
7,128,0.3172275,4.01e-5,0.0005967
8,256,0.2911902,8.23e-5,0.0022061
9,512,0.3402602,0.0001549,0.023439
10,1024,0.3485858,0.000296,0.0351158
11,2048,0.4068212,0.0006023,0.1580705
12,4096,0.481086,0.0012203,0.8461724
13,8192,0.5096917,0.0024133,4.3199701
14,16384,0.6042055,0.0219874,27.760498
15,32768,0.6350261,0.0190664,356.766021
16,65536,0.7515277,0.0294451,NaN
17,131072,0.6901613,0.062948,NaN
18,262144,0.765364,0.1394,NaN
19,524288,0.8372242,0.3017707,NaN
20,1048576,0.9191358,0.6116372,NaN
21,2097152,0.9227637,1.4311737,NaN
22,4194304,0.980889,2.493425,NaN
23,8388608,0.9347544,4.8059809,NaN
24,16777216,1.0329069,9.9883538,NaN
25,33554432,1.0167085,20.6760419,NaN
26,67108864,1.2928443,NaN,NaN
27,134217728,1.1262383,NaN,NaN
28,268435456,1.1063151,NaN,NaN
29,536870912,1.1655778,NaN,NaN
30,1073741824,1.2003855,NaN,NaN
31,2147483648,1.1848534,NaN,NaN
32,4294967296,1.2326479,NaN,NaN
33,8589934592,1.2954415,NaN,NaN
34,17179869184,1.3177457,NaN,NaN
35,34359738368,1.3972074,NaN,NaN
36,68719476736,1.447863,NaN,NaN
37,137438953472,1.4532875,NaN,NaN
38,274877906944,1.4825405,NaN,NaN
39,549755813888,1.5592736,NaN,NaN
40,1099511627776,1.583066,NaN,NaN
