L,N,mpo_kpm_fit_seconds,sparse_kpm_fit_seconds,exact_diag_fit_seconds
5,32,0.3326200623652815,1.0227147193872722e-5,2.3320548469227646e-5
6,64,0.3499234434648016,2.123676134409779e-5,0.0001111007620225418
7,128,0.3681269717032106,4.40983222238523e-5,0.0005292919820593856
8,256,0.3872774740484286,9.15705550130493e-5,0.0025215848853990027
9,512,0.40742421347558977,0.00019014706507048117,0.012013010870735806
10,1024,0.42861901569169375,0.00039484205757806527,0.05723084359207736
11,2048,0.45091640245265735,0.0008198930147814438,0.2726518350399365
12,4096,0.474373731815714,0.0017025150760554366,1.298932856564353
13,8192,0.49905134568794796,0.0035352875703773476,6.18820909683331
14,16384,0.5250127250505182,0.00734105581856099,29.481071044285603
15,32768,0.5523246532578735,0.015243767150030164,140.44993249548992
16,65536,0.5810573878320306,0.03165381692600846,669.1135307925406
17,131072,0.6112848411938417,0.06572943001056514,3187.7047509726426
18,262144,0.6430847707961657,0.1364877411028414,15186.453586340838
19,524288,0.676538979148046,0.2834179981229399,72349.35182115423
20,1048576,0.7117335242444356,0.5885199726434811,344677.4903160509
21,2097152,0.7487589409427862,1.2220669135135271,1.6420682333719912e6
22,4194304,0.7877104738559685,2.537632723654721,7.822930591077961e6
23,8388608,0.8286883223606232,5.26941673074925,3.7269001244334795e7
24,16777216,0.8717978983512037,10.941990313834774,1.7755218937189037e8
25,33554432,0.9171500974027604,22.721139387096873,8.458713380612434e8
26,67108864,0.9648615840400088,47.1806463212777,4.0297915958382115e9
27,134217728,1.0150550918465104,97.97102818521624,1.9198215585728374e10
28,268435456,1.0678597391859719,203.4377040600173,9.146167311896428e10
29,536870912,1.1234113613478274,422.44018665363393,4.3572995689968427e11
30,1073741824,1.1818528599715166,877.2007732023453,2.0758487010493333e12
31,2147483648,1.2433345706483268,1821.5151418293058,9.889491785941805e12
32,4294967296,1.3080146496464167,3782.392256451063,4.711424668607682e13
33,8589934592,1.3760594807538427,7854.170878477181,2.244556433073682e14
34,17179869184,1.4476441032861505,16309.255097248828,1.069322749617747e15
35,34359738368,1.5229526623595484,33866.31204523898,5.094330113519239e15
36,68719476736,1.6021788825879482,70323.69563824966,2.4269753275880576e16
37,137438953472,1.685526566422416,146027.77419681917,1.1562284165860848e17
38,274877906944,1.773210118414969,303227.96097875776,5.5083549310315757e17
39,549755813888,1.865455096755343,629655.5352230923,2.624219713939267e18
40,1099511627776,1.962498793499502,1.3074852719959186e6,1.2501970539755715e19
